Handle,Title,Body (HTML),Vendor,Standardized Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Cost
candy-land-disney-princess-edition,Candy Land Disney Princess Edition,"<p>Discover Candy Land Disney Princess Edition, a fantastic and engaging game perfect for your next game night! Ideal for players looking for strategy, fun, and memorable moments. This game features high-quality components and is designed to bring family and friends together for hours of entertainment.</p>",Other,Board Games,Board Games,"board-game, kids-game",true,Title,Default Title,,,DB-BG-CANDYL-040,0,shopify,100,deny,manual,16.49,,true,true,,https://m.media-amazon.com/images/I/810UoCKs66L._AC_SX679_.jpg,1,"Hasbro Gaming Candy Land Disney Princess Edition Board Game, Preschool Games for 2 to 3 Players, Easter Gifts for Boys and Girls, Family Games for Kids Ages 3 and Up (Amazon Exclusive)",false,Candy Land Disney Princess Edition,"Get the fun and exciting Candy Land Disney Princess Edition. Perfect for family game nights, parties, and gifts!",9.89
thinkfun-zingo-bingo-award-winning-for-pre,ThinkFun Zingo Bingo Award Winning For Pre,"<p>Discover ThinkFun Zingo Bingo Award Winning For Pre, a fantastic and engaging game perfect for your next game night! Ideal for players looking for strategy, fun, and memorable moments. This game features high-quality components and is designed to bring family and friends together for hours of entertainment.</p>",Other,Board Games,Board Games,"board-game, kids-game",true,Title,Default Title,,,DB-BG-THINKF-041,0,shopify,100,deny,manual,24.99,,true,true,,https://m.media-amazon.com/images/I/81u7H7FiVFL._AC_SX679_.jpg,1,ThinkFun Zingo Bingo Award Winning Preschool Game for Pre-Readers and Early Readers Age 4 and Up - One of the Most Popular Board Games for Boys and Girls and their Parents (97700),false,ThinkFun Zingo Bingo Award Winning For Pre,"Get the fun and exciting ThinkFun Zingo Bingo Award Winning For Pre. Perfect for family game nights, parties, and gifts!",14.99
herd-mentality,Herd Mentality,"<p>Discover Herd Mentality, a fantastic and engaging game perfect for your next game night! Ideal for players looking for strategy, fun, and memorable moments. This game features high-quality components and is designed to bring family and friends together for hours of entertainment.</p>",Big Potato,Board Games,Board Games,"board-game, family-game",true,Title,Default Title,,,DB-BG-HERDME-042,0,shopify,100,deny,manual,24.99,,true,true,,https://m.media-amazon.com/images/I/51u-cJ3s+VL._AC_SX679_.jpg,1,Herd Mentality: Udderly Funny Family Board Game | Easy & Fun for Big Groups of 4-20 Players | Includes 20 Extra Exclusive Questions,false,Herd Mentality,"Get the fun and exciting Herd Mentality. Perfect for family game nights, parties, and gifts!",14.99
guess-who-disney-princess-edition,Guess Who? Disney Princess Edition,"<p>Discover Guess Who? Disney Princess Edition, a fantastic and engaging game perfect for your next game night! Ideal for players looking for strategy, fun, and memorable moments. This game features high-quality components and is designed to bring family and friends together for hours of entertainment.</p>",Other,Board Games,Board Games,"board-game, kids-game",true,Title,Default Title,,,DB-BG-GUESSW-043,0,shopify,100,deny,manual,19.67,,true,true,,https://m.media-amazon.com/images/I/81Vq4TkJ8pL._AC_SX679_.jpg,1,"Hasbro Gaming Guess Who? Disney Princess Edition Kids Board Game, Fun Game for Families and Kids Ages 5 and Up, Easter Gifts for Boys and Girls, Preschool Games (Amazon Exclusive)",false,Guess Who? Disney Princess Edition,"Get the fun and exciting Guess Who? Disney Princess Edition. Perfect for family game nights, parties, and gifts!",11.80
catch-phrase-electronic,Catch Phrase Electronic,"<p>Discover Catch Phrase Electronic, a fantastic and engaging game perfect for your next game night! Ideal for players looking for strategy, fun, and memorable moments. This game features high-quality components and is designed to bring family and friends together for hours of entertainment.</p>",Other,Board Games,Board Games,"board-game, kids-game, party-game",true,Title,Default Title,,,DB-BG-CATCHP-044,0,shopify,100,deny,manual,21.43,,true,true,,https://m.media-amazon.com/images/I/81haHstroOL._AC_SX679_.jpg,1,"Hasbro Gaming Catch Phrase Electronic Game | Fun Active Handheld Party Games for Adults, Teens, and Kids | 4 or More Players, 2 Teams | Portable Summer Travel Activities | Ages 12+ (Amazon Exclusive)",false,Catch Phrase Electronic,"Get the fun and exciting Catch Phrase Electronic. Perfect for family game nights, parties, and gifts!",12.86
cootie-mixing-and-matching-bug,Cootie Mixing And Matching Bug,"<p>Discover Cootie Mixing And Matching Bug, a fantastic and engaging game perfect for your next game night! Ideal for players looking for strategy, fun, and memorable moments. This game features high-quality components and is designed to bring family and friends together for hours of entertainment.</p>",Other,Board Games,Board Games,"board-game, kids-game",true,Title,Default Title,,,DB-BG-COOTIE-045,0,shopify,100,deny,manual,10.99,,true,true,,https://m.media-amazon.com/images/I/71VyKIGm1nL._AC_SX679_.jpg,1,Hasbro Gaming Cootie Mixing and Matching Bug-Building Game | 2-4 Players | Easy Preschool Board Games | Easter Basket Gifts for Boys and Girls| Ages 3+,false,Cootie Mixing And Matching Bug,"Get the fun and exciting Cootie Mixing And Matching Bug. Perfect for family game nights, parties, and gifts!",6.59
3,3,"<p>Discover 3, a fantastic and engaging game perfect for your next game night! Ideal for players looking for strategy, fun, and memorable moments. This game features high-quality components and is designed to bring family and friends together for hours of entertainment.</p>",JOYIN,Board Games,Board Games,"board-game, kids-game, party-game",true,Title,Default Title,,,DB-BG-3-046,0,shopify,100,deny,manual,17.98,,true,true,,https://m.media-amazon.com/images/I/A1c-wXzcatL._AC_SX679_.jpg,1,"3-in-1 Vintage Giant Checkers, Tic, Tac, Toe, with Reversible Mat, 24 Chips, Family Board Game, Lawn Game, BBQ Party Favor, Indoor and Outdoor Activity for Kids and Adults",false,3,"Get the fun and exciting 3. Perfect for family game nights, parties, and gifts!",10.79
15-inches-magnetic-wooden-chess-set,15 Inches Magnetic Wooden Chess Set,"<p>Discover 15 Inches Magnetic Wooden Chess Set, a fantastic and engaging game perfect for your next game night! Ideal for players looking for strategy, fun, and memorable moments. This game features high-quality components and is designed to bring family and friends together for hours of entertainment.</p>",AMEROUS,Board Games,Board Games,"board-game, chess, kids-game, wooden",true,Title,Default Title,,,DB-BG-15INCH-047,0,shopify,100,deny,manual,29.99,,true,true,,https://m.media-amazon.com/images/I/715WDtUWeCS._AC_SX679_.jpg,1,"AMEROUS 15 Inches Magnetic Wooden Chess Set - 2 Extra Queens - Folding Board - Pieces Storage Slots, Handmade Portable Travel Chess Game - Beginner Chess Set for Kids, 6 up Age",false,15 Inches Magnetic Wooden Chess Set,"Get the fun and exciting 15 Inches Magnetic Wooden Chess Set. Perfect for family game nights, parties, and gifts!",17.99
operation-electronic-with-all,Operation Electronic With All,"<p>Discover Operation Electronic With All, a fantastic and engaging game perfect for your next game night! Ideal for players looking for strategy, fun, and memorable moments. This game features high-quality components and is designed to bring family and friends together for hours of entertainment.</p>",Other,Board Games,Board Games,"board-game, kids-game",true,Title,Default Title,,,DB-BG-OPERAT-048,0,shopify,100,deny,manual,19.98,,true,true,,https://m.media-amazon.com/images/I/818tvmYyGbL._AC_SX679_.jpg,1,Operation Electronic Board Game with All-in-One Carrying Case | 2 Ways to Play | Ages 6+ | 1+ Players | 10 Mins. | Fun Kids Games,false,Operation Electronic With All,"Get the fun and exciting Operation Electronic With All. Perfect for family game nights, parties, and gifts!",11.99
taboo,Taboo,"<p>Discover Taboo, a fantastic and engaging game perfect for your next game night! Ideal for players looking for strategy, fun, and memorable moments. This game features high-quality components and is designed to bring family and friends together for hours of entertainment.</p>",Other,Board Games,Board Games,"board-game, party-game, classic",true,Title,Default Title,,,DB-BG-TABOO-049,0,shopify,100,deny,manual,12.99,,true,true,,https://m.media-amazon.com/images/I/81MBgtB-Y8L._AC_SX679_.jpg,1,"Hasbro Gaming Taboo Classic Game, Party Word Guessing Game for Adults and Teens, Board Game for 4+ Players Ages 13 and Up",false,Taboo,"Get the fun and exciting Taboo. Perfect for family game nights, parties, and gifts!",7.79
